codigo_producto,producto,meses_con_ventas,pct_continuidad,volumen_total
MC201230RHRP,LADRILLO FAROL PH DE 12 RAYADO ROJO PRIMERA,62,100.0,8826553.0
TT082380QHRP,LADRILLO BLOQUELON X 80 PRIMERA,62,100.0,5365834.0
MC201030RHRP,LADRILLO FAROL PH DE 10 RAYADO ROJO PRIMERA,62,100.0,4803884.0
MC201230RHRC,LADRILLO FAROL PH DE 12 RAYADO ROJO COMERCIAL,62,100.0,2368732.0
MC201030RHRC,LADRILLO FAROL PH DE 10 RAYADO ROJO COMERCIAL,62,100.0,1226490.0
TT082380QHRC,LADRILLO BLOQUELON X 80 COMERCIAL,62,100.0,1185166.0
MC201215RHRP,LADRILLO FAROL PH DE 12 MEDIO RAYADO ROJO PRIMERA,62,100.0,1092283.0
MC101330LVRP,LADRILLO ESTRUCTURAL PV X 10 LISO ROJO PRIMERA,62,100.0,629390.0
MC201015RHRP,LADRILLO FAROL PH DE 10 MEDIO RAYADO ROJO PRIMERA,62,100.0,542365.0
MC201230RVRP,LADRILLO TERMINAL PV DE 12 RAYADO ROJO PRIMERA,62,100.0,408779.0
MC201215RHRC,LADRILLO FAROL PH DE 12 MEDIO RAYADO ROJO COMERCIA,61,98.39,51154.0
TG092020CLRP,LOMO DE BALLENA 20X20 LISO ROJO PRIMERA,60,96.77,13296.0
TT2945TRLRRP,TEJA ROMANA PRIMERA,59,95.16,1132928.0
MC201030RVRP,LADRILLO TERMINAL PV DE 10 RAYADO ROJO PRIMERA,59,95.16,231410.0
MC201015RHRC,LADRILLO FAROL PH DE 10 MEDIO RAYADO ROJO COMERCIA,59,95.16,23161.0
TG001020CLAP,REMATE ARAGON 10X20 LISO ARENA PRIMERA,58,93.55,9553.0
MC101330LHRP,LADRILLO COMPLEMENTO PH X 10 LISO ROJO PRIMERA,57,91.94,497616.0
TG002025CLAP,HUELLA  ESCALERA 25X20 LISA ARENA PRIMERA,56,90.32,6932.0
TG002025CLRP,HUELLA  ESCALERA 25X20 LISA ROJA PRIMERA,56,90.32,5898.0
MC051020DRRP,ADOQUIN RECTANGULAR X5 RUSTICO ROJO PRIMERA,55,88.71,1360586.0
MC061224LVRP,LADRILLO CARAVISTA LISO ROJO PRIMERA,55,88.71,997351.0
MC031020DRRP,ADOQUIN RECTANGULAR  X3 RUSTICO ROJO PRIMERA,53,85.48,385516.0
MC201240LVRP,LADRILLO ESTRUCTURAL 20X12X40 LISO ROJO PRIMERA,51,82.26,198400.0
TG061224LVAP,LADRILLO CARAVISTA ARKITEKT LISO ARENA PRIMERA,50,80.65,314694.0
TG001020CLRP,REMATE ARAGON 10X20 LISO ROJO PRIMERA,48,77.42,20623.0
TG092020CLAP,LOMO DE BALLENA 20X20 LISO ARENA PRIMERA,48,77.42,5188.4
MC101330LHRC,LADRILLO COMPLEMENTO PH X 10 LISO ROJO COMERCIAL,47,75.81,66087.0
TG061430LVAP,LADRILLO ROMANO ARKITEKT LISO ARENA PRIMERA,44,70.97,803318.0
TG051439HVAP,LADRILLO GRAN FORMATO ARKITEKT 145 RÚSTICO ARENA P,42,67.74,104500.0
TG000725ARTE,TABLETA ITALICA 7X25 RÚSTICA TERRAZO  ECOGRES,42,67.74,2565.0
MC101330LVRC,LADRILLO ESTRUCTURAL PV X 10 LISO ROJO  COMERCIAL,40,64.52,37360.0
TG001020ALRP1,TABLETA CLASICA 10X20 LISA ROJA PRIMERA TONO 1,38,61.29,266291.86
TG000725ALRP1,TABLETA ITALICA 7X25 LISA ROJA PRIMERA TONO 1,38,61.29,112083.06
TG000725ALAP1,TABLETA ITALICA 7X25 LISA ARENA PRIMERA TONO 1,38,61.29,107391.36
TG001020ALDP1,TABLETA CLASICA 10X20 LISA CEDRO ROJO PRIMERA TONO,38,61.29,70234.16
TG001020ALAP1,D TABLETA CLASICA 10X20 LISA ARENA PRIMERA TONO 1,38,61.29,38778.86
TG000725ALTE,TABLETA ITALICA 7X25 LISA TERRAZO ECOGRES,38,61.29,2359.0
MC051020DRRC,ADOQUIN RECTANGULAR X5 RUSTICO ROJO COMERCIAL,37,59.68,79180.0
TG000725ALMP1,TABLETA ITALICA 7X25 LISA MORO PRIMERA TONO 1,36,58.06,45879.56
TG000725ALRE,D TABLETA ITALICA 7X25 LISA ROJA ECOGRES - POPUL,36,58.06,24989.5
TG000725ALAE,TABLETA ITALICA 7X25 LISA ARENA ECOGRES,36,58.06,16676.5
TG001020ALRE,TABLETA CLASICA 10X20 LISA ROJA ECOGRES,34,54.84,108898.5
TG001020ALMP1,D TABLETA CLASICA 10X20 LISA MORO PRIMERA TONO 1,34,54.84,13168.86
TG000725ALME,TABLETA ITALICA 7X25 LISA MORO ECOGRES,34,54.84,11041.5
TG002020CLRP,CONTRAHUELLA ESCALERA 20X20 LISA ROJO PRIMERA,34,54.84,1810.0
MC000624ELRP,ENCHAPE CARAVISTA LISO ROJO PRIMERA,33,53.23,136680.0
MC061224HVRP,LADRILLO CARAVISTA CORCHO ROJO PRIMERA,33,53.23,131639.0
TT082340RHRP,LADRILLO DIVISORIO X40 RAYADO ROJO PRIMERA,33,53.23,15459.0
TG000920CLPP,D GUARDAESCOBA COLONIAL LISO ROBLE PRIMERA,33,53.23,1397.0
MC081020DRRP,ADOQUIN RECTANGULAR X8 RUSTICO ROJO PRIMERA,31,50.0,60716.0
TG000725ALTP,TABLETA ITALICA 7X25 LISA TERRAZO PRIMERA,31,50.0,11092.5
TG000725ARTP,TABLETA ITALICA 7X25 RÚSTICA TERRAZO  PRIMERA,30,48.39,3883.0
TG000920CLRP,GUARDAESCOBA COLONIAL LISO ROJO PRIMERA,29,46.77,10916.0
TG061224LVAB,LADRILLO CARAVISTA ARKITEKT LISO ARENA PRIMERA B,28,45.16,34448.0
MC061224LVRC,LADRILLO CARAVISTA LISO ROJO COMERCIAL,27,43.55,65558.0
TG051439HVAC,LADRILLO GRAN FORMATO ARKITEKT 145 RÚSTICO ARENA C,27,43.55,55079.0
TG001020ALME,D TABLETA CLASICA 10X20 LISA MORO ECOGRES,27,43.55,3544.5
TG000725ALRE1,TABLETA ITALICA 7X25 LISA ROJO ECOGRES T1,26,41.94,7978.2
TG000725ARRP1,TABLETA ITALICA 7X25 RUSTICA ROJO PRIMERA T1,26,41.94,5615.5
TG000920CLDP,GUARDAESCOBA COLONIAL LISO CEDRO ROJO PRIMERA,26,41.94,793.0
TG000626ELAP,LADRILLO E ARKITEKT 1/4X26  LISO ARENA PRIMERA,25,40.32,771963.0
TT082380QHRX,LADRILLO BLOQUELON X 80 EXTRA,25,40.32,63553.0
TG001020ALRE1,TABLETA CLASICA 10X20 LISA ROJO ECOGRES T1,25,40.32,31824.0
MC201230RVRC,LADRILLO TERMINAL PV DE 12 RAYADO ROJO COMERCIAL,25,40.32,18478.0
TG001010ARRP1,TABLETA SALAMINA 10X10 RUSTICA ROJO PRIMERA T1,25,40.32,7325.0
TG001020ALAE,D TABLETA CLASICA 10X20 LISA ARENA ECOGRES,25,40.32,5488.5
TG000725ALAE1,TABLETA ITALICA 7X25 LISA ARENA ECOGRES T1,25,40.32,2976.0
TG001020ALDE,TABLETA CLASICA 10X20 LISA CEDRO ROJO ECOGRES,24,38.71,26955.5
MC201520CCRP,LADRILLO CALADO CIRCULO DE 15 ROJO PRIMERA,24,38.71,5935.0
TG000725ALYP,TABLETA ITALICA 7X25 LISA SPETTRO PRIMAVERA PRIMER,24,38.71,3879.0
TG000626ELAP1,LADRILLO E ARKITEKT 1/4X26  LISO ARENA PRIMERA T1,22,35.48,916554.0
TG000725ALRP,TABLETA ITALICA 7X25 LISA ROJA PRIMERA,22,35.48,85442.0
TG001020ALRP2,TABLETA CLASICA 10X20 LISA ROJO PRIMERA T2,22,35.48,65114.0
TG010624ELAP,ENCHAPE TRADICIONAL ARKITEKT LISO ARENA PRIMERA,22,35.48,47554.0
TG000725ALMP,TABLETA ITALICA 7X25 LISA MORO PRIMERA,22,35.48,30699.0
